severity,kind,voice,turn,fail_reason,narrator_input,lori_reply_excerpt
AMBER,voice_turn,hearth,T3,AMBER: reflection weak / generic,"Mother had a silk ribbon from her wedding. She'd take it out once a year, touch it, and put it back.","Hello! I'm doing well, thank you for chatting with me today. I'm glad we get to talk and get to know each other better. Let's start with something easy. What's the day today?"
RED,voice_turn,field,T1,RED: no Lori reply within 45s,hello how are you,
RED,voice_turn,field,T2,RED: no Lori reply within 45s,I told you about that already,
RED,voice_turn,field,T3,RED: no Lori reply within 45s,Mother had a Sunday voice for church and a Monday voice for survival.,
RED,voice_turn,field,T4,RED: no Lori reply within 45s,I don't talk about that part of growing up,
RED,voice_turn,shield,T1,RED: no Lori reply within 45s,hello how are you,
AMBER,voice_turn,shield,T3,AMBER: reflection weak / generic,"My father never ate pork, but he said it was because his stomach was sensitive.",Chat error: Not enough GPU memory for this turn — please try a shorter message or try again shortly.. Try again.
AMBER,lifemap,—,Earliest Years,AMBER: Lori reply not era-appropriate (warm label or present-tense missing),[click Earliest Years],…
AMBER,lifemap,—,Early School Years,AMBER: Lori reply not era-appropriate (warm label or present-tense missing),[click Early School Years],…
AMBER,lifemap,—,Adolescence,AMBER: Lori reply not era-appropriate (warm label or present-tense missing),[click Adolescence],…
AMBER,lifemap,—,Coming of Age,AMBER: Lori reply not era-appropriate (warm label or present-tense missing),[click Coming of Age],…
AMBER,lifemap,—,Building Years,AMBER: Lori reply not era-appropriate (warm label or present-tense missing),[click Building Years],…
AMBER,lifemap,—,Later Years,AMBER: Lori reply not era-appropriate (warm label or present-tense missing),[click Later Years],…
RED,lifemap,—,Today,RED: era click produced no Lori response,[click Today],
